alignment	model
OG0000137_disco_tree1_aligned_trim.faa	LG
OG0000137_disco_tree3_aligned_trim.faa	LG
OG0000138_disco_tree1_aligned_trim.faa	WAG
OG0000138_disco_tree3_aligned_trim.faa	LG
OG0000138_disco_tree4_aligned_trim.faa	LG
OG0000138_disco_tree5_aligned_trim.faa	LG
OG0000138_disco_tree6_aligned_trim.faa	LG
OG0000141_disco_tree1_aligned_trim.faa	VT
OG0000143_disco_tree1_aligned_trim.faa	WAG
OG0000143_disco_tree2_aligned_trim.faa	WAG
OG0000143_disco_tree3_aligned_trim.faa	LG
OG0000143_disco_tree4_aligned_trim.faa	LG
OG0000143_disco_tree5_aligned_trim.faa	WAG
OG0000143_disco_tree6_aligned_trim.faa	WAG
OG0000147_disco_tree1_aligned_trim.faa	LG
OG0000147_disco_tree2_aligned_trim.faa	LG
OG0000147_disco_tree3_aligned_trim.faa	LG
OG0000147_disco_tree4_aligned_trim.faa	LG
OG0000147_disco_tree5_aligned_trim.faa	LG
OG0000147_disco_tree6_aligned_trim.faa	LG
OG0000148_disco_tree1_aligned_trim.faa	LG
OG0000148_disco_tree2_aligned_trim.faa	LG
OG0000148_disco_tree3_aligned_trim.faa	LG
OG0000148_disco_tree4_aligned_trim.faa	LG
OG0000148_disco_tree5_aligned_trim.faa	LG
OG0000148_disco_tree6_aligned_trim.faa	LG
OG0000152_disco_tree1_aligned_trim.faa	WAG
OG0000153_disco_tree1_aligned_trim.faa	LG
OG0000153_disco_tree2_aligned_trim.faa	LG
OG0000153_disco_tree3_aligned_trim.faa	LG
OG0000153_disco_tree5_aligned_trim.faa	LG
OG0000155_disco_tree1_aligned_trim.faa	LG
OG0000155_disco_tree2_aligned_trim.faa	LG
OG0000155_disco_tree3_aligned_trim.faa	WAG
OG0000155_disco_tree4_aligned_trim.faa	WAG
OG0000156_disco_tree2_aligned_trim.faa	LG
OG0000156_disco_tree3_aligned_trim.faa	LG
OG0000156_disco_tree4_aligned_trim.faa	LG
OG0000157_disco_tree1_aligned_trim.faa	LG
OG0000157_disco_tree2_aligned_trim.faa	LG
OG0000157_disco_tree3_aligned_trim.faa	LG
OG0000159_disco_tree1_aligned_trim.faa	WAG
OG0000159_disco_tree2_aligned_trim.faa	WAG
OG0000159_disco_tree3_aligned_trim.faa	LG
OG0000161_disco_tree1_aligned_trim.faa	JTT
OG0000162_disco_tree1_aligned_trim.faa	LG
OG0000162_disco_tree2_aligned_trim.faa	LG
OG0000168_disco_tree1_aligned_trim.faa	LG
OG0000168_disco_tree2_aligned_trim.faa	LG
OG0000168_disco_tree3_aligned_trim.faa	LG
OG0000168_disco_tree4_aligned_trim.faa	LG
OG0000168_disco_tree6_aligned_trim.faa	LG
OG0000169_disco_tree1_aligned_trim.faa	WAG
OG0000169_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000169_disco_tree3_aligned_trim.faa	LG
OG0000173_disco_tree1_aligned_trim.faa	LG
OG0000173_disco_tree2_aligned_trim.faa	LG
OG0000173_disco_tree3_aligned_trim.faa	WAG
OG0000174_disco_tree1_aligned_trim.faa	WAG
OG0000174_disco_tree2_aligned_trim.faa	Blosum62
OG0000176_disco_tree1_aligned_trim.faa	LG
OG0000176_disco_tree2_aligned_trim.faa	LG
OG0000176_disco_tree3_aligned_trim.faa	LG
OG0000178_disco_tree1_aligned_trim.faa	LG
OG0000179_disco_tree1_aligned_trim.faa	LG
OG0000179_disco_tree2_aligned_trim.faa	LG
OG0000186_disco_tree1_aligned_trim.faa	WAG
OG0000186_disco_tree2_aligned_trim.faa	LG
OG0000188_disco_tree1_aligned_trim.faa	LG
OG0000189_disco_tree1_aligned_trim.faa	LG
OG0000190_disco_tree1_aligned_trim.faa	LG
OG0000190_disco_tree2_aligned_trim.faa	LG
OG0000190_disco_tree3_aligned_trim.faa	VT
OG0000190_disco_tree4_aligned_trim.faa	LG
OG0000193_disco_tree2_aligned_trim.faa	LG
