alignment	model
OG0000111_disco_tree1_aligned_trim.faa	LG
OG0000111_disco_tree2_aligned_trim.faa	JTT
OG0000111_disco_tree3_aligned_trim.faa	LG
OG0000112_disco_tree1_aligned_trim.faa	LG
OG0000112_disco_tree2_aligned_trim.faa	LG
OG0000114_disco_tree1_aligned_trim.faa	FLU
OG0000114_disco_tree2_aligned_trim.faa	LG
OG0000114_disco_tree3_aligned_trim.faa	Blosum62
OG0000115_disco_tree1_aligned_trim.faa	LG
OG0000115_disco_tree2_aligned_trim.faa	VT
OG0000115_disco_tree3_aligned_trim.faa	VT
OG0000116_disco_tree1_aligned_trim.faa	WAG
OG0000116_disco_tree2_aligned_trim.faa	WAG
OG0000117_disco_tree1_aligned_trim.faa	JTT
OG0000117_disco_tree2_aligned_trim.faa	JTT
OG0000118_disco_tree1_aligned_trim.faa	JTT
OG0000119_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000121_disco_tree1_aligned_trim.faa	WAG
OG0000122_disco_tree1_aligned_trim.faa	VT
OG0000122_disco_tree2_aligned_trim.faa	VT
OG0000123_disco_tree1_aligned_trim.faa	VT
OG0000124_disco_tree1_aligned_trim.faa	JTT
OG0000124_disco_tree2_aligned_trim.faa	JTT
OG0000124_disco_tree3_aligned_trim.faa	JTT
OG0000125_disco_tree1_aligned_trim.faa	JTT
OG0000127_disco_tree1_aligned_trim.faa	JTT
OG0000128_disco_tree1_aligned_trim.faa	Dayhoff
OG0000128_disco_tree2_aligned_trim.faa	Dayhoff
OG0000129_disco_tree1_aligned_trim.faa	WAG
OG0000130_disco_tree1_aligned_trim.faa	LG
OG0000130_disco_tree2_aligned_trim.faa	LG
OG0000130_disco_tree3_aligned_trim.faa	LG
OG0000132_disco_tree1_aligned_trim.faa	JTT
OG0000132_disco_tree2_aligned_trim.faa	JTT
OG0000133_disco_tree1_aligned_trim.faa	Blosum62
OG0000133_disco_tree2_aligned_trim.faa	WAG
OG0000134_disco_tree1_aligned_trim.faa	JTT
OG0000135_disco_tree1_aligned_trim.faa	JTT
OG0000136_disco_tree1_aligned_trim.faa	JTT
OG0000137_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000138_disco_tree1_aligned_trim.faa	Dayhoff
OG0000138_disco_tree2_aligned_trim.faa	JTT
OG0000139_disco_tree1_aligned_trim.faa	WAG
OG0000140_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000141_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000141_disco_tree2_aligned_trim.faa	JTT
OG0000141_disco_tree3_aligned_trim.faa	JTTDCMut
OG0000142_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000142_disco_tree2_aligned_trim.faa	JTT
OG0000143_disco_tree1_aligned_trim.faa	LG
OG0000143_disco_tree2_aligned_trim.faa	LG
OG0000143_disco_tree3_aligned_trim.faa	LG
OG0000144_disco_tree1_aligned_trim.faa	LG
OG0000146_disco_tree1_aligned_trim.faa	LG
OG0000146_disco_tree2_aligned_trim.faa	WAG
OG0000147_disco_tree1_aligned_trim.faa	cpREV
OG0000148_disco_tree1_aligned_trim.faa	Dayhoff
OG0000148_disco_tree2_aligned_trim.faa	LG
OG0000148_disco_tree3_aligned_trim.faa	JTT
OG0000149_disco_tree1_aligned_trim.faa	LG
OG0000152_disco_tree2_aligned_trim.faa	JTT
OG0000153_disco_tree1_aligned_trim.faa	LG
OG0000153_disco_tree2_aligned_trim.faa	LG
OG0000153_disco_tree3_aligned_trim.faa	JTT
OG0000154_disco_tree1_aligned_trim.faa	WAG
OG0000155_disco_tree1_aligned_trim.faa	LG
OG0000156_disco_tree1_aligned_trim.faa	JTT
OG0000157_disco_tree1_aligned_trim.faa	WAG
OG0000157_disco_tree2_aligned_trim.faa	DCMut
OG0000159_disco_tree1_aligned_trim.faa	JTT
OG0000164_disco_tree1_aligned_trim.faa	LG
OG0000165_disco_tree1_aligned_trim.faa	WAG
OG0000166_disco_tree1_aligned_trim.faa	cpREV
OG0000166_disco_tree2_aligned_trim.faa	JTT
OG0000167_disco_tree1_aligned_trim.faa	LG
OG0000167_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000168_disco_tree1_aligned_trim.faa	rtREV
OG0000168_disco_tree2_aligned_trim.faa	JTT
OG0000169_disco_tree1_aligned_trim.faa	LG
OG0000169_disco_tree2_aligned_trim.faa	LG
OG0000170_disco_tree1_aligned_trim.faa	LG
OG0000170_disco_tree2_aligned_trim.faa	JTT
OG0000173_disco_tree1_aligned_trim.faa	JTT
OG0000173_disco_tree2_aligned_trim.faa	JTT
OG0000173_disco_tree3_aligned_trim.faa	JTTDCMut
OG0000174_disco_tree1_aligned_trim.faa	LG
OG0000174_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000175_disco_tree1_aligned_trim.faa	LG
OG0000177_disco_tree1_aligned_trim.faa	LG
OG0000178_disco_tree1_aligned_trim.faa	WAG
OG0000178_disco_tree2_aligned_trim.faa	FLU
OG0000179_disco_tree1_aligned_trim.faa	JTT
OG0000179_disco_tree2_aligned_trim.faa	JTT
OG0000180_disco_tree1_aligned_trim.faa	cpREV
OG0000180_disco_tree2_aligned_trim.faa	cpREV
OG0000181_disco_tree1_aligned_trim.faa	JTT
OG0000181_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000182_disco_tree1_aligned_trim.faa	JTT
OG0000182_disco_tree2_aligned_trim.faa	LG
OG0000183_disco_tree1_aligned_trim.faa	JTT
OG0000183_disco_tree2_aligned_trim.faa	JTT
OG0000183_disco_tree3_aligned_trim.faa	JTT
OG0000186_disco_tree1_aligned_trim.faa	LG
OG0000186_disco_tree2_aligned_trim.faa	JTT
OG0000187_disco_tree1_aligned_trim.faa	JTT
OG0000187_disco_tree2_aligned_trim.faa	JTT
OG0000188_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000189_disco_tree1_aligned_trim.faa	JTT
OG0000189_disco_tree2_aligned_trim.faa	JTT
OG0000190_disco_tree1_aligned_trim.faa	JTT
OG0000191_disco_tree1_aligned_trim.faa	cpREV
OG0000191_disco_tree2_aligned_trim.faa	JTT
OG0000191_disco_tree3_aligned_trim.faa	LG
OG0000192_disco_tree1_aligned_trim.faa	VT
OG0000192_disco_tree2_aligned_trim.faa	LG
OG0000193_disco_tree1_aligned_trim.faa	JTT
OG0000194_disco_tree1_aligned_trim.faa	JTT
OG0000194_disco_tree2_aligned_trim.faa	WAG
OG0000195_disco_tree1_aligned_trim.faa	WAG
OG0000196_disco_tree1_aligned_trim.faa	JTT
OG0000196_disco_tree2_aligned_trim.faa	LG
OG0000197_disco_tree1_aligned_trim.faa	JTT
OG0000198_disco_tree1_aligned_trim.faa	LG
OG0000198_disco_tree2_aligned_trim.faa	WAG
OG0000199_disco_tree2_aligned_trim.faa	WAG
OG0000199_disco_tree3_aligned_trim.faa	WAG
OG0000201_disco_tree1_aligned_trim.faa	WAG
OG0000204_disco_tree1_aligned_trim.faa	JTT
OG0000204_disco_tree2_aligned_trim.faa	LG
OG0000205_disco_tree1_aligned_trim.faa	JTT
OG0000206_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000206_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000206_disco_tree3_aligned_trim.faa	JTTDCMut
OG0000207_disco_tree1_aligned_trim.faa	WAG
OG0000207_disco_tree2_aligned_trim.faa	LG
OG0000208_disco_tree1_aligned_trim.faa	LG
OG0000208_disco_tree2_aligned_trim.faa	LG
OG0000209_disco_tree1_aligned_trim.faa	JTT
OG0000210_disco_tree1_aligned_trim.faa	WAG
OG0000210_disco_tree2_aligned_trim.faa	WAG
OG0000211_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000211_disco_tree2_aligned_trim.faa	LG
OG0000212_disco_tree1_aligned_trim.faa	LG
OG0000213_disco_tree1_aligned_trim.faa	WAG
OG0000213_disco_tree2_aligned_trim.faa	WAG
OG0000214_disco_tree1_aligned_trim.faa	LG
OG0000216_disco_tree1_aligned_trim.faa	LG
OG0000216_disco_tree2_aligned_trim.faa	LG
OG0000217_disco_tree1_aligned_trim.faa	LG
OG0000218_disco_tree1_aligned_trim.faa	JTT
OG0000218_disco_tree2_aligned_trim.faa	Blosum62
OG0000219_disco_tree1_aligned_trim.faa	LG
OG0000220_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000220_disco_tree2_aligned_trim.faa	WAG
OG0000221_disco_tree1_aligned_trim.faa	JTT
OG0000221_disco_tree2_aligned_trim.faa	JTT
OG0000222_disco_tree1_aligned_trim.faa	JTT
OG0000222_disco_tree2_aligned_trim.faa	JTT
OG0000223_disco_tree1_aligned_trim.faa	JTT
OG0000224_disco_tree1_aligned_trim.faa	JTT
OG0000224_disco_tree2_aligned_trim.faa	LG
OG0000225_disco_tree1_aligned_trim.faa	LG
OG0000225_disco_tree2_aligned_trim.faa	LG
OG0000226_disco_tree1_aligned_trim.faa	WAG
OG0000227_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000227_disco_tree2_aligned_trim.faa	JTT
OG0000228_disco_tree1_aligned_trim.faa	JTT
OG0000229_disco_tree1_aligned_trim.faa	WAG
OG0000229_disco_tree2_aligned_trim.faa	WAG
OG0000230_disco_tree1_aligned_trim.faa	WAG
OG0000231_disco_tree1_aligned_trim.faa	JTT
OG0000231_disco_tree2_aligned_trim.faa	LG
OG0000232_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000232_disco_tree2_aligned_trim.faa	JTT
OG0000233_disco_tree1_aligned_trim.faa	JTT
OG0000234_disco_tree1_aligned_trim.faa	JTT
OG0000236_disco_tree1_aligned_trim.faa	LG
OG0000236_disco_tree2_aligned_trim.faa	LG
OG0000237_disco_tree1_aligned_trim.faa	JTT
OG0000237_disco_tree2_aligned_trim.faa	JTT
OG0000238_disco_tree1_aligned_trim.faa	JTT
OG0000239_disco_tree1_aligned_trim.faa	LG
OG0000239_disco_tree2_aligned_trim.faa	LG
OG0000240_disco_tree1_aligned_trim.faa	JTT
OG0000240_disco_tree2_aligned_trim.faa	JTT
OG0000241_disco_tree1_aligned_trim.faa	LG
OG0000242_disco_tree1_aligned_trim.faa	mtZOA
OG0000242_disco_tree2_aligned_trim.faa	mtZOA
OG0000243_disco_tree1_aligned_trim.faa	JTT
OG0000243_disco_tree2_aligned_trim.faa	JTT
OG0000244_disco_tree1_aligned_trim.faa	WAG
OG0000244_disco_tree2_aligned_trim.faa	WAG
OG0000245_disco_tree1_aligned_trim.faa	JTT
OG0000246_disco_tree1_aligned_trim.faa	LG
OG0000246_disco_tree2_aligned_trim.faa	WAG
OG0000247_disco_tree1_aligned_trim.faa	JTT
OG0000248_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000248_disco_tree2_aligned_trim.faa	WAG
OG0000249_disco_tree1_aligned_trim.faa	JTT
OG0000249_disco_tree2_aligned_trim.faa	JTT
OG0000250_disco_tree1_aligned_trim.faa	JTT
OG0000250_disco_tree2_aligned_trim.faa	JTTDCMut
OG0000251_disco_tree1_aligned_trim.faa	JTT
OG0000252_disco_tree1_aligned_trim.faa	JTT
OG0000255_disco_tree1_aligned_trim.faa	JTT
OG0000255_disco_tree2_aligned_trim.faa	JTT
OG0000256_disco_tree1_aligned_trim.faa	Dayhoff
OG0000256_disco_tree2_aligned_trim.faa	WAG
OG0000257_disco_tree1_aligned_trim.faa	LG
OG0000257_disco_tree2_aligned_trim.faa	JTT
OG0000258_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000258_disco_tree2_aligned_trim.faa	LG
OG0000259_disco_tree1_aligned_trim.faa	LG
OG0000259_disco_tree2_aligned_trim.faa	LG
OG0000260_disco_tree1_aligned_trim.faa	JTT
OG0000261_disco_tree1_aligned_trim.faa	JTT
OG0000262_disco_tree1_aligned_trim.faa	JTT
OG0000262_disco_tree2_aligned_trim.faa	JTT
OG0000263_disco_tree1_aligned_trim.faa	JTT
OG0000263_disco_tree2_aligned_trim.faa	LG
OG0000264_disco_tree1_aligned_trim.faa	JTT
OG0000264_disco_tree2_aligned_trim.faa	JTT
OG0000265_disco_tree1_aligned_trim.faa	VT
OG0000266_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000266_disco_tree2_aligned_trim.faa	WAG
OG0000267_disco_tree1_aligned_trim.faa	WAG
OG0000268_disco_tree1_aligned_trim.faa	LG
OG0000268_disco_tree2_aligned_trim.faa	LG
OG0000269_disco_tree1_aligned_trim.faa	JTT
OG0000270_disco_tree1_aligned_trim.faa	LG
OG0000270_disco_tree2_aligned_trim.faa	LG
OG0000271_disco_tree1_aligned_trim.faa	JTT
OG0000272_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000272_disco_tree2_aligned_trim.faa	WAG
OG0000273_disco_tree1_aligned_trim.faa	JTT
OG0000273_disco_tree2_aligned_trim.faa	LG
OG0000274_disco_tree1_aligned_trim.faa	WAG
OG0000275_disco_tree1_aligned_trim.faa	LG
OG0000275_disco_tree2_aligned_trim.faa	JTT
OG0000276_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000276_disco_tree2_aligned_trim.faa	WAG
OG0000277_disco_tree1_aligned_trim.faa	JTT
OG0000278_disco_tree1_aligned_trim.faa	LG
OG0000278_disco_tree2_aligned_trim.faa	LG
OG0000279_disco_tree1_aligned_trim.faa	JTT
OG0000279_disco_tree2_aligned_trim.faa	LG
OG0000280_disco_tree1_aligned_trim.faa	WAG
OG0000281_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000281_disco_tree2_aligned_trim.faa	LG
OG0000282_disco_tree1_aligned_trim.faa	JTT
OG0000282_disco_tree2_aligned_trim.faa	JTT
OG0000283_disco_tree1_aligned_trim.faa	LG
OG0000283_disco_tree2_aligned_trim.faa	LG
OG0000284_disco_tree1_aligned_trim.faa	WAG
OG0000286_disco_tree1_aligned_trim.faa	JTT
OG0000286_disco_tree2_aligned_trim.faa	Blosum62
OG0000287_disco_tree1_aligned_trim.faa	LG
OG0000287_disco_tree2_aligned_trim.faa	JTT
OG0000288_disco_tree1_aligned_trim.faa	WAG
OG0000288_disco_tree2_aligned_trim.faa	LG
OG0000289_disco_tree1_aligned_trim.faa	LG
OG0000290_disco_tree1_aligned_trim.faa	JTTDCMut
OG0000290_disco_tree2_aligned_trim.faa	HIVb
OG0000291_disco_tree1_aligned_trim.faa	JTT
